1246	EVE ～burst error～	1995-11-22	http://www.getchu.com/soft.phtml?id=315&gc=gc
4212	MESSENGER FROM DARK NIGHT	1995-11-23	http://www.getchu.com/soft.phtml?id=743789&gc=gc
965	Coming Heart	1995-11-30	http://www.getchu.com/soft.phtml?id=274&gc=gc
174	カスタムメイト3	1995-12-08	http://www.getchu.com/soft.phtml?id=290&gc=gc
2391	闘神都市II そして、それから…	1995-12-08	http://www.getchu.com/soft.phtml?id=930&gc=gc
3591	緋色の姉妹	1995-12-15	http://www.getchu.com/soft.phtml?id=336&gc=gc
960	VIPER-V16	1995-12-22	http://www.getchu.com/soft.phtml?id=17490&gc=gc
7521	拘束超人	1995-12-24	http://www.getchu.com/soft.phtml?id=261&gc=gc
751	魅惑の調書	1995-12-28	http://www.getchu.com/soft.phtml?id=281&gc=gc
2042	雑音領域	1996-01-19	http://www.getchu.com/soft.phtml?id=7502&gc=gc
3842	タイムストリッパー真子ちゃん	1996-01-26	http://www.getchu.com/soft.phtml?id=259&gc=gc
3664	林間学校	1996-02-02	http://www.getchu.com/soft.phtml?id=953&gc=gc
1110	エンジェルクライシス	1996-02-09	http://www.getchu.com/soft.phtml?id=263&gc=gc
6663	香奈子	1996-02-23	http://www.getchu.com/soft.phtml?id=666485&gc=gc
190	殻の中の小鳥	1996-02-29	http://www.getchu.com/soft.phtml?id=288&gc=gc
403	卒業旅行	1996-03-02	http://www.getchu.com/soft.phtml?id=345&gc=gc
3992	雷の戦士ライディ2	1996-03-22	http://www.getchu.com/soft.phtml?id=946&gc=gc
1041	GLO・RI・A ～禁断の血族～	1996-04-05	http://www.getchu.com/soft.phtml?id=276&gc=gc
1459	リングアウト!!	1996-04-12	http://www.getchu.com/soft.phtml?id=268&gc=gc
150	女の子の仕組み	1996-05-01	http://www.getchu.com/soft.phtml?id=271&gc=gc
323	雫	1996-06-26	http://www.getchu.com/soft.phtml?id=952&gc=gc
1572	まんぐり	1996-06-28	http://www.getchu.com/soft.phtml?id=913&gc=gc
941	パニックドールズ(調教パニックドールズ)	1996-07-19	http://www.getchu.com/soft.phtml?id=499&gc=gc
603	Pia♥キャロットへようこそ!! ～We’ve been Waiting for you～	1996-07-26	http://www.getchu.com/soft.phtml?id=924&gc=gc
244	暗闇	1996-07-26	http://www.getchu.com/soft.phtml?id=122261&gc=gc
198	痕 -きずあと-	1996-07-26	http://www.getchu.com/soft.phtml?id=5560&gc=gc
1046	Cherry Jam ～彼女が裸に着替えたら～	1996-08-02	http://www.getchu.com/soft.phtml?id=295&gc=gc
677	ぺろぺろCandy ～陽の章～	1996-08-02	http://www.getchu.com/soft.phtml?id=915&gc=gc
1042	GOKKO^3参上!! 完全版	1996-08-24	http://www.getchu.com/soft.phtml?id=921&gc=gc
1326	ZAP! THE MAGIC	1996-09-07	http://www.getchu.com/soft.phtml?id=744554&gc=gc
1116	ROSE BLOOD ～血の渇き～	1996-09-13	http://www.getchu.com/soft.phtml?id=478225&gc=gc
95	Esの方程式	1996-09-13	http://www.getchu.com/soft.phtml?id=660867&gc=gc
265	Get!	1996-09-13	http://www.getchu.com/soft.phtml?id=1010&gc=gc
3990	麻雀幻想曲I・II・III	1996-09-20	http://www.getchu.com/soft.phtml?id=452765&gc=gc
1517	やんやんのクイズで激闘いっちょまえ	1996-09-27	http://www.getchu.com/soft.phtml?id=14465&gc=gc
2201	野々村病院の人々(Win95)	1996-09-27	http://www.getchu.com/soft.phtml?id=926&gc=gc
4216	柊坂の旧館	1996-09-27	http://www.getchu.com/soft.phtml?id=212721&gc=gc
11643	ガール2	1996-10-01	http://www.getchu.com/soft.phtml?id=14364&gc=gc
2293	虜	1996-10-11	http://www.getchu.com/soft.phtml?id=904&gc=gc
9125	家庭教師 ～かていきょうし～	1996-10-18	http://www.getchu.com/soft.phtml?id=407&gc=gc
538	VRデート 五月倶楽部	1996-10-25	http://www.getchu.com/soft.phtml?id=313045&gc=gc
2530	牝猫秘書室 Windows版	1996-11-01	http://www.getchu.com/soft.phtml?id=932&gc=gc
943	魔性の貌(かお)	1996-11-01	http://www.getchu.com/soft.phtml?id=317&gc=gc
13607	轢愛	1996-11-08	http://www.getchu.com/soft.phtml?id=323&gc=gc
7318	たまご料理	1996-11-15	http://www.getchu.com/soft.phtml?id=226965&gc=gc
7570	緊縛の館	1996-11-22	http://www.getchu.com/soft.phtml?id=284&gc=gc
301	さおりんといっしょ!!	1996-11-22	http://www.getchu.com/soft.phtml?id=9523&gc=gc
1043	フェアリーテールリミックス volume.3 with バーチャコール2.2	1996-11-29	http://www.getchu.com/soft.phtml?id=286&gc=gc
46	悪戯	1996-12-06	http://www.getchu.com/soft.phtml?id=514705&gc=gc
1044	無垢	1996-12-13	http://www.getchu.com/soft.phtml?id=291&gc=gc
2111	教育実習 ～女子校生マニアックス～	1996-12-13	http://www.getchu.com/soft.phtml?id=324&gc=gc
683	放課後恋愛倶楽部 ～恋のエチュード～	1996-12-13	http://www.getchu.com/soft.phtml?id=917&gc=gc
585	花の記憶 ～第二章～	1996-12-13	http://www.getchu.com/soft.phtml?id=939&gc=gc
1055	クライスイーパー	1996-12-13	http://www.getchu.com/soft.phtml?id=292&gc=gc
204	鬼畜王ランス	1996-12-19	http://www.getchu.com/soft.phtml?id=937&gc=gc
5389	きゃんきゃんバニープルミエール2	1996-12-20	http://www.getchu.com/soft.phtml?id=925&gc=gc
2336	きゃんきゃんバニープルミエール2	1996-12-26	http://www.getchu.com/soft.phtml?id=925&gc=gc
2093	この世の果てで恋を唄う少女YU-NO	1996-12-26	http://www.getchu.com/soft.phtml?id=14351&gc=gc
861	猟奇の檻 ～第二章～	1997-01-17	http://www.getchu.com/soft.phtml?id=603425&gc=gc
554	VIPER-CTR ～あすか～	1997-01-24	http://www.getchu.com/soft.phtml?id=19388&gc=gc
9144	白日夢2 ～乙女達の憂鬱～	1997-01-24	http://www.getchu.com/soft.phtml?id=950&gc=gc
2865	魔界	1997-02-14	http://www.getchu.com/soft.phtml?id=906&gc=gc
1089	エクドラード ～鏡の中の王国～	1997-02-14	http://www.getchu.com/soft.phtml?id=1009&gc=gc
3749	M HARD	1997-02-21	http://www.getchu.com/soft.phtml?id=480465&gc=gc
9133	人間昆虫 ～覗き～	1997-02-21	http://www.getchu.com/soft.phtml?id=936&gc=gc
6049	僕は圭一 ～女雀師の悪戯～	1997-02-28	http://www.getchu.com/soft.phtml?id=299&gc=gc
3610	官能教習	1997-03-07	http://www.getchu.com/soft.phtml?id=355&gc=gc
1691	妖獣戦記A.D.2048	1997-03-14	http://www.getchu.com/soft.phtml?id=956&gc=gc
3621	恋のアンサンブル	1997-03-18	http://www.getchu.com/soft.phtml?id=910&gc=gc
619	雛鳥の囀	1997-03-28	http://www.getchu.com/soft.phtml?id=141&gc=gc
21	悪夢95 ～青い果実の散花～	1997-03-28	http://www.getchu.com/soft.phtml?id=231905&gc=gc
127	お嬢様を狙え!! Get Lady!!	1997-03-28	http://www.getchu.com/soft.phtml?id=916&gc=gc
1118	さよならの向こう側	1997-04-04	http://www.getchu.com/soft.phtml?id=332&gc=gc
